Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
PWD-153,LF-VAS-006,PC Grinding,PC,,20493,5123275.0,14-11-2025,Slow-Moving,71
PWD-006,LF-HAR-E57,PC Natural (Makrolon 2407),PC,,27313,4800000.0,30-10-2025,Slow-Moving,86
9506-W,IN_TRANSIT,Status Universal Socket 6/16A - W,MODULAR,STATUS,82790,4125703.46,13-11-2025,Slow-Moving,72
9316-W,IN_TRANSIT,Status 3 Pin Socket 6A - W,MODULAR,STATUS,191715,3848755.64,13-11-2025,Slow-Moving,72
OTH-044-HAR,LF-HAR-E57,Fitted Blue Holder (Solid Ring) - HAR,OTHER RM,,871068,3720488.8,31-10-2025,Slow-Moving,85
PWD-153,LF-HAR-E57,PC Grinding,PC,,13040,3260000.0,06-10-2025,Slow-Moving,110
2821-W,LF-PAL-A03,Transy Wireless Remote Bell (AC - Pin Type) - W,SUPPORTED,VALUE,9348,3120793.21,07-10-2025,Slow-Moving,109
WR-044,LF-HAR-E57,,WIRE,,2548,2966305.92,07-11-2025,Slow-Moving,78
WR-045,LF-HAR-E57,Copper CCR For Wire -  4mm & 6mm (0.265mm),WIRE,,2292,2657712.15,07-11-2025,Slow-Moving,78
SFG-9251-HAR-W,LF-HAR-E57,Status 1 Way Switch 6AX - HAR,SFG,,616641,2462969.82,13-11-2025,Slow-Moving,72
WR-043,LF-HAR-E57,Copper CCR For Wire -  0.75mm & 1mm (0.175mm),WIRE,,1705,2383189.09,07-11-2025,Slow-Moving,78
B-006,LF-SIL-017,Uni 8x9 (16A Soc) With SS Screw (2.40 kg),BRASS,,2507,2206500.0,11-11-2025,Slow-Moving,74
MCB-5240,LF-DEL-01,SFG Triprite RCCB 40A DP 30mA,MCB,,5665,2204608.0,12-11-2025,Slow-Moving,73
9376-W,IN_TRANSIT,Status Mini Step Fan Regulator - W,MODULAR,STATUS,22026,2163527.85,13-11-2025,Slow-Moving,72
9601-W,LF-HAR-E57,,MODULAR,STATUS,379680,2105434.8,12-11-2025,Slow-Moving,73
9251-W,LF-HAR-E57,,MODULAR,STATUS,311900,2077374.6,12-11-2025,Slow-Moving,73
9251-W,IN_TRANSIT,Status 1 Way Switch 6AX - W,MODULAR,STATUS,232713,2052793.24,13-11-2025,Slow-Moving,72
