PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
PO/A20/26/00001,nan,26-07-2025,NAN,No Receipt,0.0,,No Receipt,No Receipt
PO/AND/26/00001,URVI PLASTIC INDUSTRIES,01-05-2025,PPR/AND/26/00296,08-05-2025,0.0,7,≤15 days,May 2025
PO/AND/26/00002,P.P.ASSEMBLING,01-04-2025,PPR/AND/26/00003,03-04-2025,0.0,2,≤15 days,April 2025
PO/AND/26/00003,ARIHANT INDUSTRIES,01-04-2025,PPR/AND/26/00103,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00004,DHARMIN ENTERPRISE,01-04-2025,PPR/AND/26/00137,17-04-2025,0.0,16,>15 days,April 2025
PO/AND/26/00005,OM INDUSTRIES-NEW,01-04-2025,PPR/AND/26/00005,04-04-2025,0.0,3,≤15 days,April 2025
PO/AND/26/00006,GIRI ENTERPRISES,01-04-2025,PPR/AND/26/00316,08-05-2025,0.0,37,>15 days,May 2025
PO/AND/26/00007,MELCON PLASTICS,01-04-2025,PPR/AND/26/00261,30-04-2025,0.0,29,>15 days,April 2025
PO/AND/26/00008,TANISHA ENTERPRISES,01-04-2025,PPR/AND/26/00227,16-04-2025,0.0,15,≤15 days,April 2025
PO/AND/26/00009,S.PLASTICS,01-04-2025,PPR/AND/26/00732,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00010,Supreme Innovations,01-04-2025,PPR/AND/26/00263,26-04-2025,0.0,25,>15 days,April 2025
PO/AND/26/00011,MODERN ENGINEERING & SPRING COMPANY,01-04-2025,PPR/AND/26/00139,18-04-2025,0.0,17,>15 days,April 2025
PO/AND/26/00012,G R INDUSTRIES,01-04-2025,PPR/AND/26/00018,03-04-2025,0.0,2,≤15 days,April 2025
PO/AND/26/00013,PERFECT PACKERS,01-04-2025,PPR/AND/26/00106,12-04-2025,0.0,11,≤15 days,April 2025
PO/AND/26/00014,Gyanesh Print And Pack,01-04-2025,PPR/AND/26/00019,07-04-2025,0.0,6,≤15 days,April 2025
PO/AND/26/00015,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,01-04-2025,PPR/AND/26/00171,24-04-2025,0.0,23,>15 days,April 2025
PO/AND/26/00016,SHREE BALAJI PRINTERS,01-04-2025,PPR/AND/26/00115,02-04-2025,0.0,1,≤15 days,April 2025
PO/AND/26/00017,A.K.PACKAGING,01-04-2025,PPR/AND/26/00714,14-06-2025,0.0,74,>15 days,June 2025
