Item_No,Description,Location Code,Stock_Qty,Status
,,,,
,,,,
,,,,
PK-013,No Description,IN_TRANSIT,148000,"50,000 - 200,000"
PK-013,No Description,LF-AND-28,212642,"> 200,000"
PK-013,No Description,LF-VAS-006,532972,"> 200,000"
PK-013,No Description,LH-302-001,4000,"< 50,000"
PK-013,WhatsApp Coupon 5 Points (20*40mm),LF-HAR-E57,55898,"50,000 - 200,000"
PK-013,WhatsApp Coupon 5 Points (20*40mm),LF-VAS-006,23020,"< 50,000"
PK-014,WhatsApp Scratch MCB Coupon 20 points,LF-DEL-01,183000,"50,000 - 200,000"
PK-015,WhatsApp Scratch Socket Coupon 20 points (35*35mm),LF-HAR-E57,47473,"< 50,000"
PK-015,WhatsApp Scratch Socket Coupon 20 points (35*35mm),LF-VAS-006,49116,"< 50,000"
PK-016,Colour Sticker for SmartWood Plates,LF-VAS-006,342,"< 50,000"
PK-023,Common Panni (6x13),LF-HAR-E57,1400,"< 50,000"
PK-031,Soft Batten Holder Jali,LF-HAR-E57,33000,"< 50,000"
PK-054,Ring & Dome Batten Holder Jali,LF-HAR-E57,8000,"< 50,000"
PK-055,No Description,LF-HAR-E57,2205,"< 50,000"
PK-056,No Description,LF-VAS-006,200,"< 50,000"
PK-056,Thermocol 1000x600x40mm,LF-VAS-006,48,"< 50,000"
PK-076,Master Crtn  -  Gold 16A Swt,LF-SIL-017,87,"< 50,000"
PK-076,No Description,LF-SIL-017,257,"< 50,000"
PK-092,Label  -  Gold IC,LF-SIL-017,30,"< 50,000"
PK-092,Label - Gold IC,LF-SIL-017,843,"< 50,000"
PK-092,No Description,LF-SIL-017,34,"< 50,000"
PK-093,Gold Iron Connector Inner,LF-SIL-017,199,"< 50,000"
PK-094,Gold Iron Connector Outer,LF-SIL-017,20,"< 50,000"
PK-094,No Description,LF-SIL-017,124,"< 50,000"
PK-102,No Description,LF-PAL-A03,24000,"< 50,000"
PK-109,Master Crtn  -  Job No.11,LF-HAR-E57,69,"< 50,000"
PK-117,Moulding Panni (11 x 13),LF-HAR-E57,68,"< 50,000"
PK-117,No Description,LF-HAR-E57,330,"< 50,000"
PK-118,Moulding Panni (4 x 4),LF-HAR-E57,398,"< 50,000"
PK-118,No Description,LF-HAR-E57,198,"< 50,000"
PK-119,Moulding Panni (6 x 11),LF-HAR-E57,30,"< 50,000"
PK-119,No Description,LF-HAR-E57,220,"< 50,000"
PK-120,Moulding Panni (6 x 13),LF-HAR-E57,172,"< 50,000"
PK-120,No Description,LF-HAR-E57,214,"< 50,000"
PK-1201,Luxury Swt Panni (70x90),LF-HAR-E57,63000,"50,000 - 200,000"
PK-1203,Luxury Soc Panni (100x100),LF-HAR-E57,67000,"50,000 - 200,000"
PK-1204,Luxury Dimmer Panni (115x125),LF-HAR-E57,3500,"< 50,000"
PK-1205,Luxury 3x1 Panni (175 x 130),LF-HAR-E57,45000,"< 50,000"
PK-1206,Luxury 5x1 Panni (155 x 200),LF-HAR-E57,21500,"< 50,000"
PK-121,Moulding Panni (6 x 7),LF-HAR-E57,190,"< 50,000"
PK-121,No Description,LF-HAR-E57,186,"< 50,000"
