Sales Order No,Sales Order Date,Final Invoice Date,O2C Cycle Days
SO/AND/26/00004,01-04-2025,23-04-2025,22
SO/AND/26/00005,01-04-2025,23-04-2025,22
SO/AND/26/00006,01-04-2025,25-04-2025,24
SO/AND/26/00007,01-04-2025,26-04-2025,25
SO/AND/26/00008,01-04-2025,28-04-2025,27
SO/AND/26/00009,01-04-2025,30-04-2025,29
SO/AND/26/00010,01-04-2025,29-04-2025,28
SO/AND/26/00011,01-04-2025,22-04-2025,21
SO/AND/26/00012,22-04-2025,23-04-2025,1
SO/AND/26/00013,22-04-2025,29-04-2025,7
SO/AND/26/00014,22-04-2025,29-04-2025,7
SO/AND/26/00015,23-04-2025,23-04-2025,0
SO/AND/26/00017,24-04-2025,26-04-2025,2
SO/AND/26/00018,26-04-2025,28-04-2025,2
SO/AND/26/00019,26-04-2025,28-04-2025,2
SO/AND/26/00020,26-04-2025,26-04-2025,0
SO/AND/26/00021,28-04-2025,08-05-2025,10
SO/AND/26/00022,28-04-2025,08-05-2025,10
SO/AND/26/00023,28-04-2025,16-05-2025,18
SO/AND/26/00025,28-04-2025,24-05-2025,26
SO/AND/26/00027,28-04-2025,30-05-2025,32
SO/AND/26/00028,28-04-2025,07-05-2025,9
SO/AND/26/00029,30-04-2025,30-04-2025,0
SO/AND/26/00030,30-04-2025,30-04-2025,0
SO/AND/26/00031,07-05-2025,07-05-2025,0
SO/AND/26/00038,16-05-2025,16-05-2025,0
SO/AND/26/00040,23-05-2025,12-06-2025,20
SO/AND/26/00042,26-05-2025,25-06-2025,30
SO/AND/26/00043,26-05-2025,25-06-2025,30
SO/AND/26/00044,26-05-2025,12-06-2025,17
SO/AND/26/00045,26-05-2025,12-06-2025,17
SO/AND/26/00046,28-05-2025,22-07-2025,55
SO/AND/26/00047,29-05-2025,29-05-2025,0
SO/AND/26/00048,29-05-2025,29-05-2025,0
SO/AND/26/00049,29-05-2025,30-05-2025,1
SO/AND/26/00055,21-06-2025,10-07-2025,19
SO/AND/26/00056,21-06-2025,22-07-2025,31
SO/AND/26/00060,28-06-2025,28-06-2025,0
SO/AND/26/00061,28-06-2025,28-06-2025,0
SO/AND/26/00062,28-06-2025,28-06-2025,0
SO/AND/26/00085,17-07-2025,24-07-2025,7
SO/AND/26/00088,19-07-2025,24-07-2025,5
SO/AND/26/00091,23-07-2025,23-07-2025,0
SO/AND/26/00092,23-07-2025,23-07-2025,0
SO/AND/26/00099,29-07-2025,11-08-2025,13
SO/AND/26/00101,29-07-2025,07-08-2025,9
SO/AND/26/00102,29-07-2025,07-08-2025,9
SO/AND/26/00103,29-07-2025,11-08-2025,13
SO/AND/26/00104,29-07-2025,07-08-2025,9
SO/AND/26/00108,31-07-2025,31-07-2025,0
SO/AND/26/00109,31-07-2025,31-07-2025,0
SO/AND/26/00115,31-07-2025,31-07-2025,0
SO/AND/26/00130,11-08-2025,22-08-2025,11
SO/AND/26/00137,18-08-2025,18-08-2025,0
SO/AND/26/00138,18-08-2025,18-08-2025,0
SO/AND/26/00140,18-08-2025,29-08-2025,11
SO/AND/26/00143,20-08-2025,20-08-2025,0
SO/AND/26/00144,20-08-2025,20-08-2025,0
SO/AND/26/00151,22-08-2025,08-09-2025,17
SO/AND/26/00166,01-09-2025,30-09-2025,29
SO/AND/26/00167,01-09-2025,26-09-2025,25
SO/AND/26/00168,01-09-2025,12-09-2025,11
SO/AND/26/00169,01-09-2025,13-09-2025,12
SO/AND/26/00170,01-09-2025,19-09-2025,18
SO/AND/26/00176,08-09-2025,08-09-2025,0
SO/AND/26/00186,11-09-2025,11-09-2025,0
SO/AND/26/00207,20-09-2025,24-09-2025,4
SO/AND/26/00211,23-09-2025,09-10-2025,16
SO/AND/26/00212,23-09-2025,09-10-2025,16
