Document Type,PO_No,Buy-from Vendor No.,Pay-to Vendor No.,Pay-to Name,Pay-to Name 2,Pay-to Address,Pay-to Address 2,Pay-to City,Pay-to Contact,Your Reference,Ship-to Code,Ship-to Name,Ship-to Name 2,Ship-to Address,Ship-to Address 2,Ship-to City,Ship-to Contact,Order_Date,Posting Date,Expected Receipt Date,Posting Description,Payment Terms Code,Due Date,Payment Discount %,Pmt. Discount Date,Shipment Method Code,Location Code,Shortcut Dimension 1 Code,Shortcut Dimension 2 Code,Vendor Posting Group,Currency Code,Currency Factor,Prices Including VAT,Invoice Disc. Code,Language Code,Format Region,Purchaser Code,Order Class,No. Printed,On Hold,Applies-to Doc. Type,Applies-to Doc. No.,Bal. Account No.,Receive,Invoice,Print Posted Documents,Receiving No.,Posting No.,Last_Receiving_No,Last Posting No.,Vendor Order No.,Vendor Shipment No.,Vendor Invoice No.,Vendor Cr. Memo No.,VAT Registration No.,Sell-to Customer No.,Reason Code,Gen. Bus. Posting Group,Transaction Nature Code,Transport Method,VAT Country/Region Code,Vendor,Buy-from Vendor Name 2,Buy-from Address,Buy-from Address 2,Buy-from City,Buy-from Contact,Pay-to Postcode,Pay-to County,Pay-to Country/Region Code,Buy-from Postcode,Buy-from County,Buy-from Country/Region Code,Ship-to Postcode,Ship-to County,Ship-to Country/Region Code,Bal. Account Type,Order Address Code,Entry Point,Correction,Document Date,Area,Transaction Specification,Payment Method Code,No. Series,Posting No. Series,Receiving No. Series,VAT Area Code,VAT Liable,VAT Bus. Posting Group,Applies-to ID,VAT Base Discount %,Status,Invoice Discount Calculation,Invoice Discount Value,Send IC Document,IC Status,Buy-from IC Partner Code,Pay-to IC Partner Code,IC Reference Document No.,IC Direction,Prepayment No.,Last Prepayment No.,Prepmt. Cr. Memo No.,Last Prepmt. Cr. Memo No.,Prepayment %,Prepayment No. Series,Compress Prepayment,Prepayment Due Date,Prepmt. Cr. Memo No. Series,Prepmt. Posting Description,Prepmt. Pmt. Discount Date,Prepmt. Payment Terms Code,Prepmt. Payment Discount %,Quote No.,Job Queue Status,Job Queue Entry ID,Incoming Document Entry No.,Creditor No.,Payment Reference,Invoice Received Date,Journal Template Name,VAT Date,Ship-to Phone No.,Dimension Set ID,Remit-to Code,Doc. No. Occurrence,Campaign No.,Buy-from Contact No.,Pay-to Contact No.,Responsibility Centre,Posting from Whse. Ref.,Requested Receipt Date,Promised Receipt Date,Lead Time Calculation,Inbound Whse. Handling Time,Vendor Authorisation No.,Return Shipment No.,Return Shipment No. Series,Ship,Last Return Shipment No.,E-Document Link,Price Calculation Method,Recurring Billing,Assigned User ID,Doc. Amount Incl. VAT,Doc. Amount VAT,Nature of Supply,GST Vendor Type,Associated Enterprises,Invoice Type,GST Inv. Rounding Precision,GST Inv. Rounding Type,Supply Finish Date,Payment Date,Rate Change Applicable,GST Reason Type,GST Input Service Distribution,RCM Exempt,GST Order Address State,Vendor GST Reg. No.,Location State Code,Location GST Reg. No.,Order Address GST Reg. No.,Bill to-Location(POS),Vehicle No.,Shipping Agent Code,Shipping Agent Service Code,Distance (Km),Vehicle Type,Reference Invoice No.,Without Bill Of Entry,E-Way Bill No.,POS as Vendor State,POS Out Of India,Bill of Entry No.,Bill of Entry Date,GST Invoice,Bill of Entry Value,Trading,Subcontracting,Subcon. Order No.,Subcon. Order Line No.,SubConPostLine,Subcon. Multiple Receipt,State,Charge Group Code,Third Party,Charge Refernce Invoice No.,Include GST in TDS Base,Short Closed,Short Close Reason Code,Cancel Reason Code,Cancelled,Order Type,Quote Compare No.,RFQ No.,RFQ Date,IndentNo,Remarks,Large Text,Receipt_Date,Days_To_Receive,SLA_Status,Month,Quarter,Within_SLA_Pct
Order,PO/AND/26/00001,URV-1273,URV-1273,URVI PLASTIC INDUSTRIES,,"UNIT NO 43, DAMJI SHAMJI COMPLEX 28",,Mumbai,,,,S.PLASTICS,,"Gala No.137,Ashirwad Industrial Estate,Building No 5, Ram Mandir Road, Goregaon West",,MUMBAI,,2025-05-01,,2025-05-06,Order PO/AND/26/00001,C004,2025-06-01,0,2025-05-02,,LF-AND-28,LF-AND-28,,RM,,0,False,URV-1273,,,,,0,,,,,True,False,False,,,PPR/AND/26/00296,,,,UPI/25-26/0073,,,C-000009,,DOMESTIC,,,IN,URVI PLASTIC INDUSTRIES,,"UNIT NO 43, DAMJI SHAMJI COMPLEX 28",,Mumbai,,400093.0,,IN,400093.0,,IN,400104.0,IN,,G/L Account,,,False,2025-05-02,,,,POAND,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-06-01,,,2025-05-02,C004,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-05-08,,2025-05-08,9146216360.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27AADPM0339H1ZW,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,,,False,,,,,,,,2025-05-08,7,On-Time,2025-05,2025Q2,34.59
Order,PO/AND/26/00002,PPA-1049,PPA-1049,P.P.ASSEMBLING,,"Gala No.B5 Suleman Irfan Compound,R.M Road, Oshiwara, Jogeshwari(W)",,Jogeshwari(West),,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00002,C006,2025-06-02,0,2025-04-03,,LF-AND-28,LF-AND-28,,RM,,0,False,PPA-1049,,,,,0,,,,,True,False,False,,,PPR/AND/26/00003,,,,008/2025-26,,,,,DOMESTIC,,,,P.P.ASSEMBLING,,"Gala No.B5 Suleman Irfan Compound,R.M Road, Oshiwara, Jogeshwari(W)",,Jogeshwari(West),,400102.0,IN,,400102.0,IN,,400093.0,,IN,G/L Account,,,False,2025-04-03,,,,,PPIAND,PPRAND,,False,,,0,Released,,0,False,New,,,,Outgoing,,,,,0,,True,2025-06-02,,,2025-04-03,C006,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-03,,2025-04-03,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27BAGPS7120E1ZR,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,False,,,False,,,,,PI/26/000014,,,2025-04-03,2,On-Time,2025-04,2025Q2,46.84
Order,PO/AND/26/00003,ARD-0688,ARD-0688,ARIHANT INDUSTRIES,,"7, MP Estate, Behind Agrawal Industrial EstateJogeshwari west, Mumbai 400102",,Jogeshwari(West),,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00003,C006,2025-06-11,0,2025-04-12,,LF-AND-28,LF-AND-28,,RM,,0,False,ARD-0688,,,,,0,,,,,True,False,False,,,PPR/AND/26/00103,,,,4/25-26,,,,,DOMESTIC,,,,ARIHANT INDUSTRIES,,"7, MP Estate, Behind Agrawal Industrial EstateJogeshwari west, Mumbai 400102",,Jogeshwari(West),,400102.0,IN,,400102.0,IN,,400093.0,,IN,G/L Account,,,False,2025-04-12,,,,,PPIAND,PPRAND,,False,,,0,Open,,0,False,New,,,,Outgoing,,,,,0,,True,2025-06-11,,,2025-04-12,C006,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-12,,2025-04-12,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27ADEPJ8848G1Z8,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,False,,,False,,,,,PI/26/000014,,,2025-04-12,11,Late,2025-04,2025Q2,46.84
Order,PO/AND/26/00004,DHA-511,DHA-511,DHARMIN ENTERPRISE,,"1ST FLOOR,1 THAKUR GARAGE,OPPKAMGAR KALYAN BHAVAN, ANDHERI east",,Mumbai,,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00004,C006,2025-06-16,0,2025-04-17,,LF-AND-28,LF-AND-28,,RM,,0,False,DHA-511,,,,,0,,,,,True,False,False,,,PPR/AND/26/00137,,,,33 25/26,,,,,DOMESTIC,,,IN,DHARMIN ENTERPRISE,,"1ST FLOOR,1 THAKUR GARAGE,OPPKAMGAR KALYAN BHAVAN, ANDHERI east",,Mumbai,,400093.0,,IN,400093.0,,IN,400093.0,,IN,G/L Account,,,False,2025-04-17,,,,,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-06-16,,,2025-04-17,C006,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-17,,2025-04-17,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27BVUPP0933P1ZN,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,1.0,,False,,,,,PI/26/000014,,,2025-04-17,16,Late,2025-04,2025Q2,46.84
Order,PO/AND/26/00005,OMI-1014,OMI-1014,OM INDUSTRIES-NEW,,"GALA NO.3, MURLIDAR VOMPOUND,ULHASNAGAR-3, THANE-421003",,Ulhasnagar,,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00005,C006,2025-06-01,0,2025-04-02,,LF-AND-28,LF-AND-28,,RM,,0,False,OMI-1014,,,,,0,,,,,True,False,False,,,PPR/AND/26/00005,,,,3,,,,,DOMESTIC,,,,OM INDUSTRIES-NEW,,"GALA NO.3, MURLIDAR VOMPOUND,ULHASNAGAR-3, THANE-421003",,Ulhasnagar,,421003.0,IN,,421003.0,IN,,400093.0,,IN,G/L Account,,,False,2025-04-02,,,,,PPIAND,PPRAND,,False,,,0,Released,,0,False,New,,,,Outgoing,,,,,0,,True,2025-06-01,,,2025-04-02,C006,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-04,,2025-04-04,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27BQFPG0431F1ZD,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,False,,,False,,,,,PI/26/000014,,,2025-04-04,3,On-Time,2025-04,2025Q2,46.84
Order,PO/AND/26/00006,GIR-0809,GIR-0809,GIRI ENTERPRISES,,"POWAI FILTER PATHAN WADIAAREY COLONY ROAD POST NITTE,MUMBAI-400087",,MUMBAI,,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,2025-06-23,,Order PO/AND/26/00006,C004,2025-07-27,0,2025-06-27,,LF-AND-28,LF-AND-28,,RM,,0,False,GIR-0809,,,,,0,,,,,True,False,False,,,PPR/AND/26/00316,,,,24,,,,,DOMESTIC,,,,GIRI ENTERPRISES,,"POWAI FILTER PATHAN WADIAAREY COLONY ROAD POST NITTE,MUMBAI-400087",,MUMBAI,,400087.0,IN,,400087.0,IN,,400093.0,,IN,G/L Account,,,False,2025-06-27,,,,,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-07-27,,,2025-06-27,C004,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-06-27,,2025-06-23,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27AJHPG1111A1Z5,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,1.0,1.0,False,,,,,PI/26/000014,Quantity not required,,2025-05-08,37,Late,2025-04,2025Q2,46.84
Order,PO/AND/26/00007,MEL-0965,MEL-0965,MELCON PLASTICS,,MELCON PLASTIC UNIT NO 15 NEW NANDU INDMAHAKALI CAVES ROAD ANDHERI(E),,Mumbai,,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00007,C004,2025-05-30,0,2025-04-30,,LF-AND-28,LF-AND-28,,RM,,0,False,MEL-0965,,,,,0,,,,,True,False,False,,,PPR/AND/26/00261,,,,046/25-26,,,,,DOMESTIC,,,IN,MELCON PLASTICS,,MELCON PLASTIC UNIT NO 15 NEW NANDU INDMAHAKALI CAVES ROAD ANDHERI(E),,Mumbai,,400093.0,,IN,400093.0,,IN,400093.0,,IN,G/L Account,,,False,2025-04-30,,,,,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-05-30,,,2025-04-30,C004,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-30,,2025-04-30,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27AAAFM2986M1ZS,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,1.0,,False,,,,,PI/26/000014,,,2025-04-30,29,Late,2025-04,2025Q2,46.84
Order,PO/AND/26/00008,TAN-1248,TAN-1248,TANISHA ENTERPRISES,,"GALA NO. D-3, PRAGATI SOCIETY, DSOUZA COMP, SAFED POOL, PIPE LINE, K.A.ROAD, KURLA (W),",,Kurla (West),,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00008,C004,2025-05-16,0,2025-04-16,,LF-AND-28,LF-AND-28,,RM,,0,False,TAN-1248,,,,,0,,,,,True,False,False,,,PPR/AND/26/00227,,,,06/25-26,,,,,DOMESTIC,,,,TANISHA ENTERPRISES,,"GALA NO. D-3, PRAGATI SOCIETY, DSOUZA COMP, SAFED POOL, PIPE LINE, K.A.ROAD, KURLA (W),",,Kurla (West),,400072.0,IN,,400072.0,IN,,400093.0,,IN,G/L Account,,,False,2025-04-16,,,,,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-05-16,,,2025-04-16,C004,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-16,,2025-04-16,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27BEEPD6697H1Z6,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,1.0,,False,,,,,PI/26/000014,,,2025-04-16,15,Late,2025-04,2025Q2,46.84
Order,PO/AND/26/00009,S.P-477,S.P-477,S.PLASTICS,,"Gala No.137,Ashirwad Industrial Estate,Building No 5, Ram Mandir Road, Goregaon West",,MUMBAI,,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00009,C004,2025-05-12,0,2025-04-12,,LF-AND-28,LF-AND-28,,RM,,0,False,S.P-477,,,,,0,,,,,True,False,False,,,PPR/AND/26/00732,,,,6,,,,,DOMESTIC,,,,S.PLASTICS,,"Gala No.137,Ashirwad Industrial Estate,Building No 5, Ram Mandir Road, Goregaon West",,MUMBAI,,400104.0,IN,,400104.0,IN,,400093.0,,IN,G/L Account,,,False,2025-04-12,,,,,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-05-12,,,2025-04-12,C004,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-12,,2025-04-12,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27ABHPY8275F1ZZ,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,1.0,,False,,,,,PI/26/000014,,,2025-04-12,11,Late,2025-04,2025Q2,46.84
Order,PO/AND/26/00010,SUP-484,SUP-484,Supreme Innovations,,"B-5, New Empire indl estate, Kondivita road, J.B.Nagar",,Andheri East,,,,PM CONA Industries Pvt Ltd,,"28, Shreenath Industrial Estate","Off. Mahakali Caves Road, Mumbai",Mumbai,Saraswati Rawat,2025-04-01,,,Order PO/AND/26/00010,C004,2025-05-26,0,2025-04-26,,LF-AND-28,LF-AND-28,,RM,,0,False,SUP-484,,,,,0,,,,,True,False,False,,,PPR/AND/26/00263,,,,021/25-26,,,,,DOMESTIC,,,,Supreme Innovations,,"B-5, New Empire indl estate, Kondivita road, J.B.Nagar",,Andheri East,,400059.0,IN,,400059.0,IN,,400093.0,,IN,G/L Account,,,False,2025-04-26,,,,,PPIAND,PPRAND,,False,,,0,Short Closed,,0,False,New,,,,Outgoing,,,,,0,,True,2025-05-26,,,2025-04-26,C004,0,,,{00000000-0000-0000-0000-000000000000},,,,2025-04-26,,2025-04-26,9920121947.0,31.0,,1,,,,,0,,,,,,,,False,,{00000000-0000-0000-0000-000000000000},Lowest Price,False,,0,0,B2B,Registered,False,,0,Nearest,,,False,,False,False,,27AAAPA8928R1Z7,MH,27AAICC3300Q1ZI,,,,,,0,,,False,,False,False,,,False,0,False,False,,0,0,False,MH,,False,,False,True,1.0,,False,,,,,PI/26/000014,,,2025-04-26,25,Late,2025-04,2025Q2,46.84
