Document No,Total Qty,Shipped Qty,Received Qty,In Transit Qty,Status,Month
TO/26/0000319,10345.0,10345.0,0,10345.0,In Transit,2025-04
TO/26/0000411,1197.0,1197.0,0,1197.0,In Transit,2025-04
TO/26/0000416,5694.0,5694.0,0,5694.0,In Transit,2025-04
TO/26/0000429,1021.0,1021.0,0,1021.0,In Transit,2025-04
TO/26/0000430,224.0,224.0,0,224.0,In Transit,2025-04
TO/26/0000457,704.0,704.0,0,704.0,In Transit,2025-04
TO/26/0000597,75000.0,75000.0,0,75000.0,In Transit,2025-04
TO/26/0000657,334.0,334.0,0,334.0,In Transit,2025-04
TO/26/0000663,1100.0,1100.0,0,1100.0,In Transit,2025-04
TO/26/0000734,240.0,240.0,0,240.0,In Transit,2025-04
TO/26/0001267,62800.0,62800.0,0,62800.0,In Transit,2025-05
TO/26/0001318,58.0,58.0,0,58.0,In Transit,2025-05
TO/26/0001341,53.0,53.0,0,53.0,In Transit,2025-05
TO/26/0001493,50.0,50.0,0,50.0,In Transit,2025-05
TO/26/0001494,181850.0,180275.0,180275,0.0,Completed,2025-05
TO/26/0001556,0.0,0.0,0,0.0,Completed,2025-05
TO/26/0001640,4.0,4.0,0,4.0,In Transit,2025-05
TO/26/0001670,260.0,0.0,0,0.0,Completed,2025-05
TO/26/0001791,200.0,200.0,0,200.0,In Transit,2025-05
TO/26/0002140,16.0,16.0,0,16.0,In Transit,2025-06
TO/26/0002155,70.0,70.0,0,70.0,In Transit,2025-06
TO/26/0002156,3.0,3.0,0,3.0,In Transit,2025-06
TO/26/0002356,5300.0,5300.0,0,5300.0,In Transit,2025-06
TO/26/0002357,900.0,900.0,0,900.0,In Transit,2025-06
TO/26/0002412,40.0,40.0,0,40.0,In Transit,2025-06
TO/26/0002431,2.0,2.0,0,2.0,In Transit,2025-06
TO/26/0002484,500.0,500.0,0,500.0,In Transit,2025-06
TO/26/0002487,1499.0,1499.0,0,1499.0,In Transit,2025-06
TO/26/0002725,8.0,8.0,0,8.0,In Transit,2025-07
TO/26/0002912,0.0,0.0,0,0.0,Completed,2025-07
TO/26/0003068,120000.0,120000.0,0,120000.0,In Transit,2025-07
TO/26/0003132,1.0,1.0,0,1.0,In Transit,2025-07
TO/26/0003136,12.0,12.0,0,12.0,In Transit,2025-07
TO/26/0003138,1100.0,1000.0,1000,0.0,Completed,2025-07
TO/26/0003194,59020.0,46020.0,46020,0.0,Completed,2025-07
TO/26/0003250,103940.0,71440.0,71440,0.0,Completed,2025-08
TO/26/0003365,450300.0,450300.0,450140,160.0,In Transit,2025-08
TO/26/0003507,1189.0,1189.0,0,1189.0,In Transit,2025-08
TO/26/0003547,98345.0,97345.0,97268,77.0,Partially Shipped,2025-08
TO/26/0003562,800.0,800.0,0,800.0,In Transit,2025-08
TO/26/0003579,6.0,6.0,0,6.0,In Transit,2025-08
TO/26/0003606,50.0,50.0,0,50.0,In Transit,2025-08
TO/26/0003639,3.0,3.0,0,3.0,In Transit,2025-08
TO/26/0003644,2.0,2.0,0,2.0,In Transit,2025-08
TO/26/0003654,12.0,12.0,0,12.0,In Transit,2025-08
TO/26/0003727,1.0,1.0,0,1.0,In Transit,2025-08
TO/26/0003740,25.0,25.0,0,25.0,In Transit,2025-08
TO/26/0003773,8700.0,0.0,0,0.0,Completed,2025-09
TO/26/0003776,9700.0,9700.0,0,9700.0,In Transit,2025-09
TO/26/0004195,7.0,7.0,0,7.0,In Transit,2025-09
TO/26/0004231,200.0,200.0,0,200.0,In Transit,2025-09
TO/26/0004246,3.0,3.0,0,3.0,In Transit,2025-09
TO/26/0004250,74.0,0.0,0,0.0,Completed,2025-09
TO/26/0004329,5525.0,5525.0,0,5525.0,In Transit,2025-10
TO/26/0004338,1200.0,0.0,0,0.0,Completed,2025-10
TO/26/0004351,100.0,0.0,0,0.0,Completed,2025-10
TO/26/0004744,500.0,0.0,0,0.0,Completed,2025-10
TO/26/0004747,90.0,90.0,0,90.0,In Transit,2025-10
TO/26/0004750,118.0,118.0,18,100.0,In Transit,2025-10
TO/26/0004877,6.0,6.0,0,6.0,In Transit,2025-10
TO/26/0004978,0.0,0.0,0,0.0,Completed,2025-10
TO/26/0005207,20.0,0.0,0,0.0,Completed,2025-11
TO/26/0005399,5586.0,5586.0,0,5586.0,In Transit,2025-11
TO/26/0005602,136397.6,136397.6,0,136397.6,In Transit,2025-11
TO/26/0005607,300.0,300.0,0,300.0,In Transit,2025-11
TO/26/0005691,28352.0,27812.0,0,27812.0,Partially Shipped,2025-11
TO/26/0005693,32003.0,32003.0,0,32003.0,In Transit,2025-11
TO/26/0005715,3963.0,0.0,0,0.0,Completed,2025-11
TO/26/0005732,5232.0,0.0,0,0.0,Completed,2025-11
TO/26/0005734,1493.0,0.0,0,0.0,Completed,2025-11
