PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
PO/A20/26/00001,nan,2025-07-26,NAN,,0.0,,No Receipt,NaT
PO/AND/26/00001,URVI PLASTIC INDUSTRIES,2025-05-01,PPR/AND/26/00296,2025-05-08,0.0,7.0,≤15 days,2025-05
PO/AND/26/00002,P.P.ASSEMBLING,2025-04-01,PPR/AND/26/00003,2025-04-03,0.0,2.0,≤15 days,2025-04
PO/AND/26/00003,ARIHANT INDUSTRIES,2025-04-01,PPR/AND/26/00103,2025-04-12,0.0,11.0,≤15 days,2025-04
PO/AND/26/00004,DHARMIN ENTERPRISE,2025-04-01,PPR/AND/26/00137,2025-04-17,0.0,16.0,>15 days,2025-04
PO/AND/26/00005,OM INDUSTRIES-NEW,2025-04-01,PPR/AND/26/00005,2025-04-04,0.0,3.0,≤15 days,2025-04
PO/AND/26/00006,GIRI ENTERPRISES,2025-04-01,PPR/AND/26/00316,2025-05-08,0.0,37.0,>15 days,2025-05
PO/AND/26/00007,MELCON PLASTICS,2025-04-01,PPR/AND/26/00261,2025-04-30,0.0,29.0,>15 days,2025-04
PO/AND/26/00008,TANISHA ENTERPRISES,2025-04-01,PPR/AND/26/00227,2025-04-16,0.0,15.0,≤15 days,2025-04
PO/AND/26/00009,S.PLASTICS,2025-04-01,PPR/AND/26/00732,2025-04-12,0.0,11.0,≤15 days,2025-04
PO/AND/26/00010,Supreme Innovations,2025-04-01,PPR/AND/26/00263,2025-04-26,0.0,25.0,>15 days,2025-04
PO/AND/26/00011,MODERN ENGINEERING & SPRING COMPANY,2025-04-01,PPR/AND/26/00139,2025-04-18,0.0,17.0,>15 days,2025-04
PO/AND/26/00012,G R INDUSTRIES,2025-04-01,PPR/AND/26/00018,2025-04-03,0.0,2.0,≤15 days,2025-04
PO/AND/26/00013,PERFECT PACKERS,2025-04-01,PPR/AND/26/00106,2025-04-12,0.0,11.0,≤15 days,2025-04
PO/AND/26/00014,Gyanesh Print And Pack,2025-04-01,PPR/AND/26/00019,2025-04-07,0.0,6.0,≤15 days,2025-04
PO/AND/26/00015,SUPREME CORRUGATING INDUSTRIES PVT.LTD.,2025-04-01,PPR/AND/26/00171,2025-04-24,0.0,23.0,>15 days,2025-04
PO/AND/26/00016,SHREE BALAJI PRINTERS,2025-04-01,PPR/AND/26/00115,2025-04-02,0.0,1.0,≤15 days,2025-04
PO/AND/26/00017,A.K.PACKAGING,2025-04-01,PPR/AND/26/00714,2025-06-14,0.0,74.0,>15 days,2025-06
PO/AND/26/00018,PRINT LINE,2025-04-01,PPR/AND/26/00510,2025-05-28,0.0,57.0,>15 days,2025-05
PO/AND/26/00019,PRINTSOUK,2025-04-01,PPR/AND/26/00231,2025-04-28,0.0,27.0,>15 days,2025-04
PO/AND/26/00020,Ramaya Packaging,2025-04-01,PPR/AND/26/00113,2025-04-03,0.0,2.0,≤15 days,2025-04
PO/AND/26/00021,KANKAI ENTERPRISES,2025-04-01,PPR/AND/26/00188,2025-04-23,0.0,22.0,>15 days,2025-04
PO/AND/26/00022,WITCO POTTERIES,2025-04-01,PPR/AND/26/00172,2025-04-24,0.0,23.0,>15 days,2025-04
PO/AND/26/00023,VENUS COLOURANTS,2025-04-01,PPR/AND/26/00201,2025-04-05,0.0,4.0,≤15 days,2025-04
PO/AND/26/00024,MAHAVIR TRADERS,2025-04-01,PPR/AND/26/00281,2025-04-04,0.0,3.0,≤15 days,2025-04
PO/AND/26/00025,JAYESH INDUSTRIES,2025-04-01,PPR/AND/26/00269,2025-04-30,0.0,29.0,>15 days,2025-04
PO/AND/26/00026,REKHA TRADING CO,2025-04-01,PPR/AND/26/00284,2025-04-26,0.0,25.0,>15 days,2025-04
PO/AND/26/00027,SAI ENTERPRISES (VENDOR),2025-04-01,PPR/AND/26/00249,2025-04-25,0.0,24.0,>15 days,2025-04
PO/AND/26/00028,RAJESHREE INDUSTRIES,2025-04-01,PPR/AND/26/00233,2025-04-28,0.0,27.0,>15 days,2025-04
