Chart_Type,Category,Value
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Not Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
Shipment,Fully Shipped,1.0
