SO_No,SO_Date,Completely_Shipped,Shipment_Status
.,2025-07-16,1,Fully Shipped
15705,2025-07-26,0,Not Shipped
SO/AND/26/00003,2025-04-17,1,Fully Shipped
SO/AND/26/00004,2025-04-01,1,Fully Shipped
SO/AND/26/00005,2025-04-01,1,Fully Shipped
SO/AND/26/00006,2025-04-01,1,Fully Shipped
SO/AND/26/00007,2025-04-01,1,Fully Shipped
SO/AND/26/00008,2025-04-01,1,Fully Shipped
SO/AND/26/00009,2025-04-01,1,Fully Shipped
SO/AND/26/00010,2025-04-01,1,Fully Shipped
SO/AND/26/00011,2025-04-01,1,Fully Shipped
SO/AND/26/00012,2025-04-22,1,Fully Shipped
SO/AND/26/00013,2025-04-22,1,Fully Shipped
SO/AND/26/00014,2025-04-22,1,Fully Shipped
SO/AND/26/00015,2025-04-23,1,Fully Shipped
SO/AND/26/00017,2025-04-24,1,Fully Shipped
SO/AND/26/00018,2025-04-26,1,Fully Shipped
SO/AND/26/00019,2025-04-26,1,Fully Shipped
SO/AND/26/00020,2025-04-26,1,Fully Shipped
SO/AND/26/00021,2025-04-28,1,Fully Shipped
SO/AND/26/00022,2025-04-28,1,Fully Shipped
SO/AND/26/00023,2025-04-28,1,Fully Shipped
SO/AND/26/00024,2025-04-28,1,Fully Shipped
SO/AND/26/00025,2025-04-28,0,Not Shipped
SO/AND/26/00027,2025-04-28,1,Fully Shipped
SO/AND/26/00028,2025-04-28,1,Fully Shipped
SO/AND/26/00029,2025-04-30,1,Fully Shipped
SO/AND/26/00030,2025-04-30,1,Fully Shipped
SO/AND/26/00031,2025-05-07,1,Fully Shipped
SO/AND/26/00032,2025-05-07,1,Fully Shipped
SO/AND/26/00033,2025-05-07,1,Fully Shipped
SO/AND/26/00035,2025-05-12,0,Not Shipped
SO/AND/26/00036,2025-05-13,1,Fully Shipped
SO/AND/26/00037,2025-05-14,1,Fully Shipped
SO/AND/26/00038,2025-05-16,1,Fully Shipped
SO/AND/26/00039,2025-05-17,1,Fully Shipped
SO/AND/26/00040,2025-05-23,1,Fully Shipped
SO/AND/26/00041,2025-05-24,1,Fully Shipped
SO/AND/26/00042,2025-05-26,0,Not Shipped
SO/AND/26/00043,2025-05-26,1,Fully Shipped
SO/AND/26/00044,2025-05-26,1,Fully Shipped
SO/AND/26/00045,2025-05-26,1,Fully Shipped
SO/AND/26/00046,2025-05-28,1,Fully Shipped
SO/AND/26/00047,2025-05-29,1,Fully Shipped
SO/AND/26/00048,2025-05-29,1,Fully Shipped
SO/AND/26/00049,2025-05-29,1,Fully Shipped
SO/AND/26/00050,2025-05-30,1,Fully Shipped
SO/AND/26/00051,2025-06-14,1,Fully Shipped
SO/AND/26/00052,2025-06-14,1,Fully Shipped
SO/AND/26/00053,2025-06-19,1,Fully Shipped
SO/AND/26/00055,2025-06-21,1,Fully Shipped
SO/AND/26/00056,2025-06-21,1,Fully Shipped
SO/AND/26/00057,2025-06-21,1,Fully Shipped
SO/AND/26/00059,2025-06-27,1,Fully Shipped
SO/AND/26/00060,2025-06-28,1,Fully Shipped
SO/AND/26/00061,2025-06-28,1,Fully Shipped
SO/AND/26/00062,2025-06-28,1,Fully Shipped
SO/AND/26/00065,2025-07-09,1,Fully Shipped
SO/AND/26/00069,2025-07-12,1,Fully Shipped
SO/AND/26/00080,2025-07-15,0,Not Shipped
SO/AND/26/00081,2025-07-17,1,Fully Shipped
SO/AND/26/00082,2025-07-17,1,Fully Shipped
SO/AND/26/00083,2025-07-17,1,Fully Shipped
SO/AND/26/00084,2025-07-17,1,Fully Shipped
SO/AND/26/00085,2025-07-17,1,Fully Shipped
SO/AND/26/00087,2025-07-19,0,Not Shipped
SO/AND/26/00088,2025-07-19,1,Fully Shipped
SO/AND/26/00089,2025-07-22,0,Not Shipped
SO/AND/26/00090,2025-07-22,1,Fully Shipped
SO/AND/26/00091,2025-07-23,1,Fully Shipped
SO/AND/26/00092,2025-07-23,1,Fully Shipped
SO/AND/26/00093,2025-07-24,1,Fully Shipped
SO/AND/26/00094,2025-07-25,1,Fully Shipped
SO/AND/26/00095,2025-07-28,1,Fully Shipped
SO/AND/26/00096,2025-07-28,1,Fully Shipped
SO/AND/26/00097,2025-07-28,1,Fully Shipped
SO/AND/26/00098,2025-07-29,1,Fully Shipped
SO/AND/26/00099,2025-07-29,1,Fully Shipped
SO/AND/26/00100,2025-07-29,1,Fully Shipped
SO/AND/26/00101,2025-07-29,1,Fully Shipped
SO/AND/26/00102,2025-07-29,1,Fully Shipped
SO/AND/26/00103,2025-07-29,1,Fully Shipped
SO/AND/26/00104,2025-07-29,1,Fully Shipped
