Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
10001-W,LF-HAR-E57,Slim C-MCB 20A DP - W,MCB,TRIPRITE MCB,80.0,14973.300000000001,2025-10-06,93.0,Slow-Moving,93.0
10011-W,LF-HAR-E57,Slim C-MCB 32A DP - W,MCB,TRIPRITE MCB,80.0,11227.2,,,Dead,Never Moved
10026-W,LF-DEL-01,Triprite Changeover 25A Fp - W,MCB,TRIPRITE MCB,81.0,31823.28,,,Dead,Never Moved
10106-W,IN_TRANSIT,Status MCB 6A SP - W,MODULAR,STATUS,1874.0,122091.76,2025-11-05,63.0,Slow-Moving,63.0
10106-W,LD-CUT-003,Status MCB 6A SP - W,MODULAR,STATUS,520.0,112031.17,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-DHA-007,Status MCB 6A SP - W,MODULAR,STATUS,1211.0,91188.16,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-GUW-009,,MODULAR,STATUS,20.0,0.0,2025-09-27,102.0,Slow-Moving,102.0
10106-W,LD-GWA-010,Status MCB 6A SP - W,MODULAR,STATUS,402.0,39080.64,2025-10-30,69.0,Slow-Moving,69.0
10106-W,LD-IND-012,,MODULAR,STATUS,60.0,3908.07,2025-10-10,89.0,Slow-Moving,89.0
10106-W,LD-JAB-013,Status MCB 6A SP - W,MODULAR,STATUS,100.0,13026.88,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-JAI-014,Status MCB 6A SP - W,MODULAR,STATUS,40.0,2605.38,,,Dead,Never Moved
10106-W,LD-KOL-015,Status MCB 6A SP - W,MODULAR,STATUS,1092.0,71526.5,2025-10-24,75.0,Slow-Moving,75.0
10106-W,LD-LUC-017,Status MCB 6A SP - W,MODULAR,STATUS,53.0,20802.23,2025-10-30,69.0,Slow-Moving,69.0
10106-W,LD-PAT-021,Status MCB 6A SP - W,MODULAR,STATUS,120.0,102677.44,2025-11-12,56.0,Active,56.0
10106-W,LD-RAI-022,,MODULAR,STATUS,600.0,39080.64,2025-10-31,68.0,Slow-Moving,68.0
10106-W,LD-ROH-024,Status MCB 6A SP - W,MODULAR,STATUS,180.0,17470.8,,,Dead,Never Moved
10106-W,LF-AND-N20,,MODULAR,STATUS,20.0,1302.69,2025-10-13,86.0,Slow-Moving,86.0
10106-W,LF-HAR-E57,,MODULAR,STATUS,7220.0,497593.2,2025-11-13,55.0,Active,55.0
10106-W,LF-HAR-G1,Status MCB 6A SP - W,MODULAR,STATUS,102.0,8573.41,,,Dead,Never Moved
10106-W,LW-BHI-58,Status MCB 6A SP - W,MODULAR,STATUS,40.0,2605.6,,,Dead,Never Moved
10110-W,IN_TRANSIT,Status MCB 10A SP - W,MODULAR,STATUS,3849.0,248737.91,2025-11-08,60.0,Active,60.0
10110-W,LD-CUT-003,Status MCB 10A SP - W,MODULAR,STATUS,941.0,77412.0,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-DHA-007,,MODULAR,STATUS,200.0,19353.0,2025-11-11,57.0,Active,57.0
10110-W,LD-EAS-008,Status MCB 10A SP - W,MODULAR,STATUS,600.0,39154.5,2025-09-17,112.0,Slow-Moving,112.0
10110-W,LD-GWA-010,Status MCB 10A SP - W,MODULAR,STATUS,391.0,81318.75,2025-11-10,58.0,Active,58.0
10110-W,LD-HUB-029,Status MCB 10A SP - W,MODULAR,STATUS,140.0,9030.52,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-IND-012,,MODULAR,STATUS,140.0,9060.59,2025-10-30,69.0,Slow-Moving,69.0
10110-W,LD-JAB-013,Status MCB 10A SP - W,MODULAR,STATUS,22.0,39997.54,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-KOL-015,,MODULAR,STATUS,80.0,5219.17,2025-09-22,107.0,Slow-Moving,107.0
10110-W,LD-LUC-017,Status MCB 10A SP - W,MODULAR,STATUS,8.0,38189.92,2025-10-30,69.0,Slow-Moving,69.0
10110-W,LD-MEE-019,Status MCB 10A SP - W,MODULAR,STATUS,320.0,20879.08,2025-10-31,68.0,Slow-Moving,68.0
10110-W,LD-RAI-022,,MODULAR,STATUS,80.0,77412.0,2025-11-13,55.0,Active,55.0
10110-W,LD-VIJ-027,Status MCB 10A SP - W,MODULAR,STATUS,20.0,1304.8,2025-10-29,70.0,Slow-Moving,70.0
10110-W,LD-ZIR-028,Status MCB 10A SP - W,MODULAR,STATUS,1.0,36.25,2025-10-07,92.0,Slow-Moving,92.0
10110-W,LF-AND-N20,,MODULAR,STATUS,40.0,2580.15,2025-10-13,86.0,Slow-Moving,86.0
10110-W,LF-HAR-E57,,MODULAR,STATUS,2440.0,241230.0,2025-11-13,55.0,Active,55.0
10110-W,LF-HAR-G1,Status MCB 10A SP - W,MODULAR,STATUS,229.0,16665.37,,,Dead,Never Moved
10116-W,IN_TRANSIT,Status MCB 16A SP - W,MODULAR,STATUS,2078.0,135014.2,2025-11-13,55.0,Active,55.0
10116-W,LD-CUT-003,Status MCB 16A SP - W,MODULAR,STATUS,721.0,116935.51,2025-11-06,62.0,Slow-Moving,62.0
10116-W,LD-DHA-007,,MODULAR,STATUS,323.0,23387.1,2025-11-14,54.0,Active,54.0
10116-W,LD-EAS-008,Status MCB 16A SP - W,MODULAR,STATUS,300.0,19578.26,2025-10-11,88.0,Slow-Moving,88.0
10116-W,LD-GWA-010,Status MCB 16A SP - W,MODULAR,STATUS,1232.0,81970.25,2025-11-10,58.0,Active,58.0
10116-W,LD-HUB-029,Status MCB 16A SP - W,MODULAR,STATUS,122.0,7926.22,2025-10-31,68.0,Slow-Moving,68.0
10116-W,LD-IND-012,,MODULAR,STATUS,120.0,13284.05,2025-11-10,58.0,Active,58.0
10116-W,LD-JAB-013,,MODULAR,STATUS,9.0,12992.83,2025-10-31,68.0,Slow-Moving,68.0
10116-W,LD-JAI-014,,MODULAR,STATUS,79.0,6496.42,2025-10-27,72.0,Slow-Moving,72.0
10116-W,LD-LUC-017,Status MCB 16A SP - W,MODULAR,STATUS,180.0,38978.5,2025-10-31,68.0,Slow-Moving,68.0
10116-W,LD-MEE-019,Status MCB 16A SP - W,MODULAR,STATUS,424.0,53608.82,2025-11-13,55.0,Active,55.0
10116-W,LD-PAT-021,Status MCB 16A SP - W,MODULAR,STATUS,1280.0,122021.58,2025-11-13,55.0,Active,55.0
10116-W,LD-RAI-022,,MODULAR,STATUS,80.0,19489.25,2025-11-13,55.0,Active,55.0
10116-W,LD-ROH-024,Status MCB 16A SP - W,MODULAR,STATUS,20.0,2019.4,2025-10-28,71.0,Slow-Moving,71.0
10116-W,LD-VIJ-027,Status MCB 16A SP - W,MODULAR,STATUS,20.0,1304.95,2025-11-07,61.0,Slow-Moving,61.0
10116-W,LF-AND-N20,,MODULAR,STATUS,16.0,1039.43,2025-10-13,86.0,Slow-Moving,86.0
10116-W,LF-HAR-E57,,MODULAR,STATUS,5340.0,422240.0,2025-11-13,55.0,Active,55.0
10116-W,LF-HAR-G1,Status MCB 16A SP - W,MODULAR,STATUS,61.0,7819.780000000001,2025-10-13,86.0,Slow-Moving,86.0
10116-W,LW-BHI-58,Status MCB 16A SP - W,MODULAR,STATUS,40.0,2598.8,,,Dead,Never Moved
10120-W,IN_TRANSIT,Status MCB 20A SP - W,MODULAR,STATUS,1151.0,74945.47,2025-11-13,55.0,Active,55.0
10120-W,LD-CSN-001,Status MCB 20A SP - W,MODULAR,STATUS,40.0,2601.81,,,Dead,Never Moved
10120-W,LD-DHA-007,Status MCB 20A SP - W,MODULAR,STATUS,440.0,39027.17,2025-11-12,56.0,Active,56.0
10120-W,LD-EAS-008,Status MCB 20A SP - W,MODULAR,STATUS,60.0,3914.93,2025-10-11,88.0,Slow-Moving,88.0
10120-W,LD-GWA-010,Status MCB 20A SP - W,MODULAR,STATUS,281.0,39027.17,2025-10-30,69.0,Slow-Moving,69.0
10120-W,LD-HUB-029,,MODULAR,STATUS,60.0,3902.72,2025-10-28,71.0,Slow-Moving,71.0
10120-W,LD-IND-012,Status MCB 20A SP - W,MODULAR,STATUS,80.0,6698.67,2025-10-10,89.0,Slow-Moving,89.0
10120-W,LD-JAB-013,Status MCB 20A SP - W,MODULAR,STATUS,158.0,19515.0,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LD-JAI-014,Status MCB 20A SP - W,MODULAR,STATUS,202.0,23452.940000000002,2025-10-29,70.0,Slow-Moving,70.0
10120-W,LD-KOL-015,Status MCB 20A SP - W,MODULAR,STATUS,260.0,16923.989999999998,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LD-LUC-017,Status MCB 20A SP - W,MODULAR,STATUS,42.0,2732.0899999999997,2025-10-31,68.0,Slow-Moving,68.0
10120-W,LD-MEE-019,Status MCB 20A SP - W,MODULAR,STATUS,180.0,11744.8,2025-10-07,92.0,Slow-Moving,92.0
10120-W,LD-PAT-021,Status MCB 20A SP - W,MODULAR,STATUS,560.0,84678.62000000001,2025-11-12,56.0,Active,56.0
