Vendor,Total_POs,On_Time_POs,Late_POs,On_Time_Pct,Performance_Bucket
A.K.PACKAGING,7,2,5,28.57,<70%
ABHISHEK BALASO KESARKAR,9,7,2,77.78,70–79%
ACN PLASTIC,44,28,16,63.64,<70%
ALFA PACKAGING,4,2,2,50.0,<70%
AMAN ENTERPRISES,6,6,0,100.0,100%
AMAN SPRING PRODUCTS,9,9,0,100.0,100%
AMAR INDUSTRIES - SL,3,2,1,66.67,<70%
AMAZING GRAPHICS,1,1,0,100.0,100%
AMIT KUMAR PATEL - JW,9,7,2,77.78,70–79%
AMPRO INDUSTRIES,9,4,5,44.44,<70%
ANIL KUMAR PASWAN,16,12,4,75.0,70–79%
ANMOL CORRUPACK PVT LTD,1,1,0,100.0,100%
ANSHIKA ENTERPRISES,8,3,5,37.5,<70%
ARCHANA ENTERPRISES,11,4,7,36.36,<70%
ARIHANT COMPONENTS,3,1,2,33.33,<70%
ARIHANT INDUSTRIES,12,5,7,41.67,<70%
ARUN MISHRA - JW,26,20,6,76.92,70–79%
ARVIND PRATAP,4,4,0,100.0,100%
ASHOK DIES WORKS,10,8,2,80.0,80–89%
ASHOK R SINGHDA,5,2,3,40.0,<70%
ASHOKA ENTERPRISES,1,0,1,0.0,<70%
AUTOTEK CABLES PVT.LTD.,15,12,3,80.0,80–89%
AVI ENTERPRISES,13,9,4,69.23,<70%
AWANT KUMAR - JW,14,10,4,71.43,70–79%
Acer Industries,2,0,2,0.0,<70%
Anchal Singh,10,6,4,60.0,<70%
Angel Brass Industries,7,1,6,14.29,<70%
Angel Enterprise,9,9,0,100.0,100%
Anil Patel - JW,3,3,0,100.0,100%
Argus Polymers Pvt Ltd,2,2,0,100.0,100%
Arihant Enterprise - Dim,1,0,1,0.0,<70%
Arvind Chaudhary,1,0,1,0.0,<70%
Ashish Kumar Tripathi,4,2,2,50.0,<70%
B R POLYMERS PVT LTD,2,2,0,100.0,100%
BHAGYODAY PRODUCTS,10,4,6,40.0,<70%
BHAUSAHEB B. PATIL,2,0,2,0.0,<70%
BNB ENTERPRISE,16,7,9,43.75,<70%
BRAINTECH MEDIA,1,1,0,100.0,100%
BRS ELECTRONICS,1,0,1,0.0,<70%
Baaz Industries,1,1,0,100.0,100%
Bhagwati Thermopack,2,1,1,50.0,<70%
Bombay Electrical components,8,7,1,87.5,80–89%
C.KOTHARI & CO.,7,2,5,28.57,<70%
Chetan Khadase,5,3,2,60.0,<70%
Chintamani Enterprises,2,2,0,100.0,100%
Chitra Industries,1,0,1,0.0,<70%
Club India,3,3,0,100.0,100%
D.R.POLYMERS PVT.LTD.,16,8,8,50.0,<70%
D.S. Computer Graphics,2,1,1,50.0,<70%
DEEPAK KUMAR SHARMA,24,24,0,100.0,100%
DEVANAND ASHOK KHADSE,9,7,2,77.78,70–79%
DEVANSH ENTERPRISES,7,7,0,100.0,100%
DHARMENDRA YADAV,7,5,2,71.43,70–79%
DHARMIN ENTERPRISE,23,16,7,69.57,<70%
DURGA ENTERPRISES - JW,1,0,1,0.0,<70%
DURGESH METAL FINISHING WORKS,7,1,6,14.29,<70%
DURVESH ENTERPRISES,8,4,4,50.0,<70%
Deon Tapes Industries Private Limited,4,1,3,25.0,<70%
Dev Packaging,4,0,4,0.0,<70%
Dheeraj Kumar,6,4,2,66.67,<70%
Drishti metals co.-HD,4,4,0,100.0,100%
EKAKSH POLYMERS,6,0,6,0.0,<70%
EKTA INSTRUMENT SERVICE,1,1,0,100.0,100%
ELECTRONICA PLASTIC MACHINES PVT.LTD.,1,0,1,0.0,<70%
ELIXIR ENGG & ELECTRICAL INDUSTRIES,2,1,1,50.0,<70%
EXCEL TRADERS,1,1,0,100.0,100%
Earth Poly Pack,7,7,0,100.0,100%
Fabrico,2,2,0,100.0,100%
G R INDUSTRIES,19,15,4,78.95,70–79%
G.KHANNA & CO.,2,2,0,100.0,100%
G.KHANNA and CO.,15,13,2,86.67,80–89%
GAIN ELECTRONICS,3,1,2,33.33,<70%
GAURI DEVI - JW,8,5,3,62.5,<70%
GAYATRI,1,1,0,100.0,100%
GEO-BOND ADHESIVES,5,2,3,40.0,<70%
GHANSHYAM SINGH,7,4,3,57.14,<70%
GIRI ENTERPRISES,11,5,6,45.45,<70%
GLOBAL STAR COMPONENTS PRIVATE LIMITED,8,3,5,37.5,<70%
Gem Enterprises,17,11,6,64.71,<70%
Gyanesh Print And Pack,16,11,5,68.75,<70%
HARI OM KIRANA STORE,7,0,7,0.0,<70%
HARIA METALS,10,4,6,40.0,<70%
HIMALAYA POLYPLAST INDUSTRY,2,1,1,50.0,<70%
HITECH SCREWS & RIVETS,6,0,6,0.0,<70%
HITECH SCREWS and RIVETS,5,1,4,20.0,<70%
Harshali Optoelectronics Private Limited,3,2,1,66.67,<70%
INDRA PRAKASHSO SURYA PRAKASH - JW,9,4,5,44.44,<70%
INDRAMANI ENTERPRISES,7,3,4,42.86,<70%
Ib enterprises,1,1,0,100.0,100%
InnovativeX Solutions,1,1,0,100.0,100%
J & K INDUSTRIES,1,1,0,100.0,100%
J.K.Plast,1,0,1,0.0,<70%
J.M.D,4,0,4,0.0,<70%
J.N.ELECTRICALS,3,2,1,66.67,<70%
JAI AMBE ENTERPRISE,16,5,11,31.25,<70%
JAI BHARAT INDUSTRY,12,11,1,91.67,90–99%
JAI DURGE ENTERPRISE,2,2,0,100.0,100%
JAYESH INDUSTRIES,14,10,4,71.43,70–79%
JITENDRA YADAY - JW,3,3,0,100.0,100%
JP Engineering Works,1,1,0,100.0,100%
JR Engineers,1,0,1,0.0,<70%
Jitender plastic,6,1,5,16.67,<70%
K.P.ENTERPRISES,7,3,4,42.86,<70%
K.R.Industries,5,3,2,60.0,<70%
KALA ENTERPRISES,3,0,3,0.0,<70%
KANKAI ENTERPRISES,23,9,14,39.13,<70%
KANVAS HOME PRODUCTS,1,1,0,100.0,100%
KARAN CABLE INDUSTRIES,4,0,4,0.0,<70%
KASAT PLASTIC,22,19,3,86.36,80–89%
KGK JET INDIA PRIVATE LIMITED,4,4,0,100.0,100%
KHUSHAL FASTENERS,2,1,1,50.0,<70%
KHUSHI MULTIPACK SOLUTIONS LLP,6,3,3,50.0,<70%
KINJAL ENGINEERING WORKS,10,10,0,100.0,100%
KINJAL PLAST COLOURS,3,2,1,66.67,<70%
KMUNOTAG PRIVATE LIMITED,3,2,1,66.67,<70%
KOEL SYSTEMS,1,0,1,0.0,<70%
KONNARK POLYMER PRIVATE LIMITED,3,0,3,0.0,<70%
KRIMCO INDUSTRIES PVT LTD,3,1,2,33.33,<70%
KUTUMBHA BAHADUR KUSHWAHA - JW,2,2,0,100.0,100%
Khushbu,12,10,2,83.33,80–89%
Khyati Enterprise,4,3,1,75.0,70–79%
Krisel polymers,5,4,1,80.0,80–89%
Kuloday Compu Forms,7,4,3,57.14,<70%
Kurz India Pvt. Ltd.,5,4,1,80.0,80–89%
LALIT ENTERPRISES,8,2,6,25.0,<70%
LALIT TEST EQUIPMENTS,1,0,1,0.0,<70%
LAXMI VINAYAK GAIKWAD,5,1,4,20.0,<70%
LEMONLITE,2,1,1,50.0,<70%
LIBESH ENGINEERING WORKS,1,1,0,100.0,100%
