Item_No,Description,Location Code,Stock_Qty,Status
,,,,
,,,,
,,,,
10001-W,No Description,LF-HAR-E57,5.0,CRITICAL (Critical)
10001-W,Slim C-MCB 20A DP - W,LF-HAR-E57,75.0,CRITICAL (Critical)
10011-W,Slim C-MCB 32A DP - W,LF-HAR-E57,80.0,CRITICAL (Critical)
10026-W,Triprite Changeover 25A Fp - W,LF-DEL-01,81.0,CRITICAL (Critical)
10106-W,No Description,IN_TRANSIT,1846.0,CRITICAL (Critical)
10106-W,No Description,LD-GUW-009,20.0,CRITICAL (Critical)
10106-W,No Description,LD-IND-012,60.0,CRITICAL (Critical)
10106-W,No Description,LD-KOL-015,360.0,CRITICAL (Critical)
10106-W,No Description,LD-RAI-022,600.0,CRITICAL (Critical)
10106-W,No Description,LF-AND-N20,20.0,CRITICAL (Critical)
10106-W,No Description,LF-HAR-E57,7220.0,CRITICAL (Critical)
10106-W,No Description,LF-HAR-G1,20.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,IN_TRANSIT,28.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-CUT-003,520.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-DHA-007,1211.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-GWA-010,402.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-JAB-013,100.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-JAI-014,40.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-KOL-015,732.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-LUC-017,53.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-PAT-021,120.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LD-ROH-024,180.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LF-HAR-G1,82.0,CRITICAL (Critical)
10106-W,Status MCB 6A SP - W,LW-BHI-58,40.0,CRITICAL (Critical)
10110-W,No Description,IN_TRANSIT,3807.0,CRITICAL (Critical)
10110-W,No Description,LD-CUT-003,220.0,CRITICAL (Critical)
10110-W,No Description,LD-DHA-007,200.0,CRITICAL (Critical)
10110-W,No Description,LD-GWA-010,60.0,CRITICAL (Critical)
10110-W,No Description,LD-IND-012,140.0,CRITICAL (Critical)
10110-W,No Description,LD-KOL-015,80.0,CRITICAL (Critical)
10110-W,No Description,LD-RAI-022,80.0,CRITICAL (Critical)
10110-W,No Description,LF-AND-N20,40.0,CRITICAL (Critical)
10110-W,No Description,LF-HAR-E57,2440.0,CRITICAL (Critical)
10110-W,No Description,LF-HAR-G1,49.0,CRITICAL (Critical)
10110-W,Status MCB 10A SP - W,IN_TRANSIT,42.0,CRITICAL (Critical)
10110-W,Status MCB 10A SP - W,LD-CUT-003,721.0,CRITICAL (Critical)
10110-W,Status MCB 10A SP - W,LD-EAS-008,600.0,CRITICAL (Critical)
10110-W,Status MCB 10A SP - W,LD-GWA-010,331.0,CRITICAL (Critical)
10110-W,Status MCB 10A SP - W,LD-HUB-029,140.0,CRITICAL (Critical)
